
3 Pas de majuscule sur les mois. => 14 Octobre à 19h00 | octobre => suggestions : ['octobre']

9 Mot inconnu : breezy => Boire un verre pour fêter la naissance de breezy | breezy

15 Mot inconnu : mulligan's => Le mulligan's à 19h00, je les ai prévenus qu'une quinzaine d'informaticiens allaient débarquer | mulligan's

16 Mot inconnu : tassès => Visiblement ils en ont pas tenu compte, tassès comme on était!!!! | tassès

22 Mot inconnu : Jabber => Veuillez laisser vos mails / Jabber ID. | jabber

37 Forme interrogative ? Mettez un trait d’union. => ===== Que s'est il passé? ===== | est il => suggestions : ['est-il']

39 Mot inconnu : guiness => Après un petit flottement de départ nous avons passé une soirée bien sympa où les pintes et la guiness ont coulé à flot à la plus grande tristesse des trois femmes qui avaient consenti à accompagner leur informaticien de mari/frangin à sa petite sauterie. | guiness

40 Confusion probable. Pour la préposition, écrivez “dès”. => on fera un véritable résumé de la soirée dés que possible, en attendant, quelques photos: | dés => suggestions : ['dès']

44 Il manque un trait d’union. => Bon celle là est pourrie mais c'est la faute au flash! | celle là => suggestions : ['celle-là']

48 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. => Où l'on voit que le géant vert est un vrai barbu comme on les aimes! | aimes => suggestions : ['aime']

52 Mot inconnu : bishop => bishop, voyageur linuxien dans l'âme! | bishop

56 Mot inconnu : NiKo => Un petit nouveau pas encore inscrit dans la communauté, NiKo, et sa compagne (<del>femme?</del>) très sympathique elle aussi mais qui s'est ennuyée ferme <del>je crois</del> (c'est sûr)... | niko
56 Typographie : points de suspension. Utilisez le caractère dédié. => Un petit nouveau pas encore inscrit dans la communauté, NiKo, et sa compagne (<del>femme?</del>) très sympathique elle aussi mais qui s'est ennuyée ferme <del>je crois</del> (c'est sûr)... | ... => suggestions : ['…']

60 Mot inconnu : bishop => Une petite pancarte conçue par bishop, très pratique pour se retrouver! | bishop
